0,1,2,3,4,5,6
"Chelsea
1
–
Wigan
1",bet-at-home,-400,+400,+1100,"Monday, 14 Apr 2008, 19:00",1:1
"Chelsea
1
–
Wigan
1",bet365,-400,+400,+1400,"Monday, 14 Apr 2008, 19:00",1:1
"Chelsea
1
–
Wigan
1",bwin,-500,+425,+1200,"Monday, 14 Apr 2008, 19:00",1:1
"Chelsea
1
–
Wigan
1",Interwetten,-455,+400,+900,"Monday, 14 Apr 2008, 19:00",1:1
"Chelsea
1
–
Wigan
1",Pinnacle,-417,+515,+1597,"Monday, 14 Apr 2008, 19:00",1:1
"Chelsea
1
–
Wigan
1",Unibet,-455,+450,+1200,"Monday, 14 Apr 2008, 19:00",1:1
"Chelsea
1
–
Wigan
1",William Hill,-455,+450,+1400,"Monday, 14 Apr 2008, 19:00",1:1
"West Ham
2
–
Aston Villa
2",bet-at-home,+195,+225,+129,"Sunday, 11 May 2008, 14:00",2:2
"West Ham
2
–
Aston Villa
2",bet365,+187,+220,+129,"Sunday, 11 May 2008, 14:00",2:2
"West Ham
2
–
Aston Villa
2",bwin,+195,+215,+125,"Sunday, 11 May 2008, 14:00",2:2
"West Ham
2
–
Aston Villa
2",Interwetten,+210,+220,+110,"Sunday, 11 May 2008, 14:00",2:2
"West Ham
2
–
Aston Villa
2",Pinnacle,+237,+261,+119,"Sunday, 11 May 2008, 14:00",2:2
"West Ham
2
–
Aston Villa
2",Unibet,+215,+229,+120,"Sunday, 11 May 2008, 14:00",2:2
"West Ham
2
–
Aston Villa
2",William Hill,+220,+250,+114,"Sunday, 11 May 2008, 14:00",2:2
"Derby
0
–
Aston Villa
6",bet-at-home,+520,+260,-182,"Saturday, 12 Apr 2008, 14:00",0:6
"Derby
0
–
Aston Villa
6",bet365,+500,+275,-161,"Saturday, 12 Apr 2008, 14:00",0:6
"Derby
0
–
Aston Villa
6",bwin,+480,+250,-182,"Saturday, 12 Apr 2008, 14:00",0:6
"Derby
0
–
Aston Villa
6",Interwetten,+350,+250,-154,"Saturday, 12 Apr 2008, 14:00",0:6
"Derby
0
–
Aston Villa
6",Pinnacle,+482,+294,-154,"Saturday, 12 Apr 2008, 14:00",0:6
"Derby
0
–
Aston Villa
6",Unibet,+525,+260,-175,"Saturday, 12 Apr 2008, 14:00",0:6
"Derby
0
–
Aston Villa
6",William Hill,+500,+280,-175,"Saturday, 12 Apr 2008, 14:00",0:6
"Blackburn
3
–
Derby
1",bet-at-home,-333,+370,+900,"Saturday, 03 May 2008, 14:00",3:1
"Blackburn
3
–
Derby
1",bet365,-400,+450,+1200,"Saturday, 03 May 2008, 14:00",3:1
"Blackburn
3
–
Derby
1",bwin,-400,+400,+900,"Saturday, 03 May 2008, 14:00",3:1
"Blackburn
3
–
Derby
1",Interwetten,-400,+380,+850,"Saturday, 03 May 2008, 14:00",3:1
"Blackburn
3
–
Derby
1",Pinnacle,-455,+540,+1500,"Saturday, 03 May 2008, 14:00",3:1
"Blackburn
3
–
Derby
1",Unibet,-400,+400,+1150,"Saturday, 03 May 2008, 14:00",3:1
"Blackburn
3
–
Derby
1",William Hill,-400,+450,+1100,"Saturday, 03 May 2008, 14:00",3:1
"Birmingham
2
–
Liverpool
2",bet-at-home,+229,+220,+114,"Saturday, 26 Apr 2008, 14:00",2:2
"Birmingham
2
–
Liverpool
2",bet365,+175,+225,+160,"Saturday, 26 Apr 2008, 14:00",2:2
"Birmingham
2
–
Liverpool
2",bwin,+175,+215,+140,"Saturday, 26 Apr 2008, 14:00",2:2
"Birmingham
2
–
Liverpool
2",Interwetten,+150,+220,+150,"Saturday, 26 Apr 2008, 14:00",2:2
"Birmingham
2
–
Liverpool
2",Pinnacle,+189,+206,+171,"Saturday, 26 Apr 2008, 14:00",2:2
"Birmingham
2
–
Liverpool
2",Unibet,+165,+225,+154,"Saturday, 26 Apr 2008, 14:00",2:2
"Birmingham
2
–
Liverpool
2",William Hill,+600,-250,+275,"Saturday, 26 Apr 2008, 14:00",2:2
"Wigan
0
–
Reading
0",bet-at-home,+110,+220,+240,"Saturday, 26 Apr 2008, 14:00",0:0
"Wigan
0
–
Reading
0",bet365,+100,+229,+300,"Saturday, 26 Apr 2008, 14:00",0:0
"Wigan
0
–
Reading
0",bwin,+104,+215,+235,"Saturday, 26 Apr 2008, 14:00",0:0
"Wigan
0
–
Reading
0",Interwetten,+100,+220,+229,"Saturday, 26 Apr 2008, 14:00",0:0
"Wigan
0
–
Reading
0",Pinnacle,-101,+244,+315,"Saturday, 26 Apr 2008, 14:00",0:0
"Wigan
0
–
Reading
0",Unibet,+100,+215,+290,"Saturday, 26 Apr 2008, 14:00",0:0
"Wigan
0
–
Reading
0",William Hill,+100,+229,+280,"Saturday, 26 Apr 2008, 14:00",0:0
"Portsmouth
0
–
Newcastle
0",bet-at-home,+110,+220,+240,"Saturday, 12 Apr 2008, 16:15",0:0
"Portsmouth
0
–
Newcastle
0",bet365,+110,+240,+260,"Saturday, 12 Apr 2008, 16:15",0:0
"Portsmouth
0
–
Newcastle
0",bwin,+100,+220,+245,"Saturday, 12 Apr 2008, 16:15",0:0
"Portsmouth
0
–
Newcastle
0",Interwetten,+100,+220,+229,"Saturday, 12 Apr 2008, 16:15",0:0
"Portsmouth
0
–
Newcastle
0",Pinnacle,+112,+242,+277,"Saturday, 12 Apr 2008, 16:15",0:0
"Portsmouth
0
–
Newcastle
0",Unibet,+104,+229,+250,"Saturday, 12 Apr 2008, 16:15",0:0
"Portsmouth
0
–
Newcastle
0",William Hill,+114,+229,+240,"Saturday, 12 Apr 2008, 16:15",0:0
"Arsenal
1
–
Everton
0",bet-at-home,-154,+250,+420,"Sunday, 04 May 2008, 12:30",1:0
"Arsenal
1
–
Everton
0",bet365,-149,+260,+450,"Sunday, 04 May 2008, 12:30",1:0
"Arsenal
1
–
Everton
0",bwin,-167,+240,+450,"Sunday, 04 May 2008, 12:30",1:0
"Arsenal
1
–
Everton
0",Interwetten,-167,+250,+400,"Sunday, 04 May 2008, 12:30",1:0
"Arsenal
1
–
Everton
0",Pinnacle,-175,+292,+568,"Sunday, 04 May 2008, 12:30",1:0
"Arsenal
1
–
Everton
0",Unibet,-167,+250,+500,"Sunday, 04 May 2008, 12:30",1:0
"Arsenal
1
–
Everton
0",William Hill,-175,+260,+550,"Sunday, 04 May 2008, 12:30",1:0
"West Ham
2
–
Newcastle
2",bet-at-home,+145,+215,+179,"Saturday, 26 Apr 2008, 14:00",2:2
"West Ham
2
–
Newcastle
2",bet365,+150,+229,+188,"Saturday, 26 Apr 2008, 14:00",2:2
"West Ham
2
–
Newcastle
2",bwin,+135,+215,+179,"Saturday, 26 Apr 2008, 14:00",2:2
"West Ham
2
–
Newcastle
2",Interwetten,+150,+220,+150,"Saturday, 26 Apr 2008, 14:00",2:2
"West Ham
2
–
Newcastle
2",Pinnacle,+175,+231,+165,"Saturday, 26 Apr 2008, 14:00",2:2
"West Ham
2
–
Newcastle
2",Unibet,+150,+225,+170,"Saturday, 26 Apr 2008, 14:00",2:2
"West Ham
2
–
Newcastle
2",William Hill,+160,+220,+175,"Saturday, 26 Apr 2008, 14:00",2:2
"Manchester Utd
4
–
West Ham
1",bet-at-home,-500,+450,+1400,"Saturday, 03 May 2008, 11:45",4:1
